Base opérationnelle;Groupe;Nom Groupe;Rang Groupe;Rang Global;Gagnant Groupe;Score Final Challenge;Objectif score mai (base +1pt);Écart au leader groupe;Total Points Gagnés;Total Points Potentiels;Nombre d'enquêtes envoyées;Nombre de répondants;Nombre de répondants PART;Nombre de répondants PRO;Nombre de répondants ENT;Taux de répondants (%);Taux SAT NETTE Composite (%);Score recalculé (points gagnés / potentiels);Écart score (pts)
BO Valréas;1;Groupe A (3 BOs);1;3;True;8.64;9.64;0.0;415;4804;677;103;99;3;1.0;15.21;97.98;8.638634471273939;0.001365528726061882
BO Oyonnax;1;Groupe A (3 BOs);2;11;False;4.19;5.19;4.45;209;4986;251;37;34;2;1.0;14.74;78.24;4.191736863217008;-0.0017368632170073894
BO Privas-Le Cheylard;1;Groupe A (3 BOs);3;21;False;3.74;4.74;4.9;431;11530;1209;150;144;6;0.0;12.41;57.08;3.7380745880312225;0.0019254119687777127
BO Annonay;2;Groupe B (8 BOs);1;1;True;11.53;12.53;0.0;1015;8804;875;112;98;9;5.0;12.8;91.02;11.528850522489778;0.0011494775102214305
BO Ambérieu - Belley;2;Groupe B (8 BOs);2;5;False;7.71;8.71;3.82;1221;15830;1211;161;147;7;7.0;13.29;79.73;7.713202779532533;-0.0032027795325326736
BO Aubenas-Joyeuse;2;Groupe B (8 BOs);3;8;False;5.4;6.4;6.13;916;16954;1496;205;187;15;3.0;13.7;82.6;5.40285478353191;-0.0028547835319097103
BO Crest Die;2;Groupe B (8 BOs);4;10;False;5.21;6.21;6.32;547;10506;753;85;76;8;1.0;11.29;96.32;5.206548638873025;0.003451361126974639
BO Roussillon;2;Groupe B (8 BOs);5;16;False;3.96;4.96;7.57;612;15474;1407;141;127;13;1.0;10.02;85.8;3.9550213260953857;0.004978673904614261
BO Saint Vallier;2;Groupe B (8 BOs);6;20;False;3.76;4.76;7.77;1210;32178;3078;311;272;31;8.0;10.1;64.35;3.7603331468705328;-0.0003331468705329854
BO Décines;2;Groupe B (8 BOs);7;23;False;3.49;4.49;8.04;600;17170;1147;161;149;9;3.0;14.04;75.23;3.4944670937682005;-0.004467093768200314
BO Valence;2;Groupe B (8 BOs);8;24;False;0.79;1.79;10.74;185;23390;1964;196;173;20;3.0;9.98;29.89;0.790936297563061;-0.0009362975630610171
BO Roannais;3;Groupe C (8 BOs);1;2;True;8.95;9.95;0.0;1481;16552;1628;220;198;16;6.0;13.51;86.97;8.947559207346545;0.0024407926534539826
BO Forez;3;Groupe C (8 BOs);2;7;False;5.82;6.82;3.13;1140;19576;1394;177;159;11;7.0;12.7;75.72;5.823457294646506;-0.00345729464650546
BO Romans;3;Groupe C (8 BOs);3;9;False;5.39;6.39;3.56;1308;24262;1737;215;198;12;5.0;12.38;91.41;5.391146649080867;-0.00114664908086759
BO Heyrieux;3;Groupe C (8 BOs);4;13;False;4.02;5.02;4.93;985;24486;2656;314;300;7;7.0;11.82;68.03;4.022706852895532;-0.002706852895532741
BO Montélimar;3;Groupe C (8 BOs);5;17;False;3.84;4.84;5.11;611;15916;1550;178;168;10;0.0;11.48;57.62;3.8389042472983164;0.0010957527016834945
BO Bourg - Montrevel;3;Groupe C (8 BOs);6;18;False;3.79;4.79;5.16;796;21008;2054;268;249;12;7.0;13.05;63.94;3.789032749428789;0.0009672505712110535
BO Gleize;3;Groupe C (8 BOs);6;18;False;3.79;4.79;5.16;902;23806;2689;300;275;23;2.0;11.16;77.16;3.7889607661933966;0.0010392338066034235
BO l'Arbresle;3;Groupe C (8 BOs);8;25;False;0.38;1.38;8.57;52;13718;1242;185;169;13;3.0;14.9;29.39;0.37906400349905234;0.0009359965009476667
BO Rillieux;4;Groupe D (6 BOs);1;4;True;7.94;8.94;0.0;893;11240;1205;164;152;9;3.0;13.61;88.48;7.944839857651245;-0.004839857651244728
BO Firminy - Saint Bonnet;4;Groupe D (6 BOs);2;6;False;6.16;7.16;1.78;556;9030;955;95;83;11;1.0;9.95;88.39;6.157253599114064;0.00274640088593614
BO Vénissieux;4;Groupe D (6 BOs);3;12;False;4.16;5.16;3.78;799;19206;1520;144;129;9;6.0;9.47;75.45;4.160158283869624;-0.00015828386962368768
BO Givors;4;Groupe D (6 BOs);4;14;False;4.01;5.01;3.93;518;12906;1493;194;182;11;1.0;12.99;78.3;4.0136370680303735;-0.003637068030373669
BO Saint Étienne;4;Groupe D (6 BOs);5;15;False;3.97;4.97;3.97;685;17254;1718;187;172;14;1.0;10.88;86.13;3.9700938912715893;-9.389127158909716e-05
BO Oullins;4;Groupe D (6 BOs);6;22;False;3.65;4.65;4.29;836;22918;1688;170;144;23;3.0;10.07;67.69;3.6477877650754866;0.002212234924513279
