Base opérationnelle;Groupe;Nom Groupe;Nouveau Score Satisfaction;Taux composite cumulé;est_PDTS;PDTS / 2 mois;Nombre enquêtes envoyées;Enquêtes / 2 mois;Taux répondants cumulé;Répondants / 2 mois;Nouveau Poids Global
BO Oyonnax;1;Groupe A (3 BOs);95.0;0.0;0;0.0;2029;338;14.04;48;0.13
BO Privas-Le Cheylard;1;Groupe A (3 BOs);87.86;9.4;7;1.2;5931;988;18.54;183;0.78
BO Valréas;1;Groupe A (3 BOs);83.33;11.77;6;1.0;3717;620;16.81;104;0.41
BO Aubenas-Joyeuse;2;Groupe B (8 BOs);90.1;1.68;4;0.7;8203;1367;16.99;232;1.3
BO Roussillon;2;Groupe B (8 BOs);90.0;6.41;5;0.8;8275;1379;13.02;180;0.99
BO Ambérieu - Belley;2;Groupe B (8 BOs);88.89;3.24;7;1.2;8819;1470;13.97;205;1.25
BO Annonay;2;Groupe B (8 BOs);88.07;3.04;5;0.8;5746;958;12.91;124;0.54
BO Crest Die;2;Groupe B (8 BOs);87.41;2.89;8;1.3;5591;932;15.51;144;0.8
BO Saint Vallier;2;Groupe B (8 BOs);85.61;4.81;8;1.3;7968;1328;16.16;215;0.69
BO Valence;2;Groupe B (8 BOs);85.52;4.04;9;1.5;7676;1279;13.39;171;0.79
BO Décines;2;Groupe B (8 BOs);84.96;3.08;8;1.3;7141;1190;13.48;160;0.69
BO Roannais;3;Groupe C (8 BOs);85.31;4.63;16;2.7;9158;1526;17.36;265;1.73
BO Forez;3;Groupe C (8 BOs);85.02;3.93;14;2.3;8752;1459;15.35;224;1.74
BO Montélimar;3;Groupe C (8 BOs);82.91;6.05;11;1.8;8286;1381;15.91;220;1.21
BO Bourg - Montrevel;3;Groupe C (8 BOs);80.49;10.91;17;2.8;9646;1608;13.77;221;1.21
BO l'Arbresle;3;Groupe C (8 BOs);80.0;8.9;11;1.8;7202;1200;14.65;176;0.87
BO Heyrieux;3;Groupe C (8 BOs);78.61;9.13;16;2.7;8786;1464;16.91;248;1.02
BO Romans;3;Groupe C (8 BOs);78.43;14.61;12;2.0;6659;1110;15.45;172;0.75
BO Gleize;3;Groupe C (8 BOs);78.39;7.16;16;2.7;10294;1716;15.03;258;1.12
BO Rillieux;4;Groupe D (6 BOs);78.95;4.44;8;1.3;6669;1112;10.88;121;0.37
BO Saint Étienne;4;Groupe D (6 BOs);77.14;11.47;14;2.3;8900;1483;12.1;180;0.64
BO Vénissieux;4;Groupe D (6 BOs);76.04;12.98;10;1.7;6818;1136;12.23;139;0.36
BO Firminy - Saint Bonnet;4;Groupe D (6 BOs);74.42;8.05;10;1.7;4613;769;15.19;117;0.29
BO Givors;4;Groupe D (6 BOs);73.91;12.85;17;2.8;7867;1311;12.57;165;0.59
BO Oullins;4;Groupe D (6 BOs);72.14;12.24;17;2.8;7325;1221;13.16;161;0.58
