Base opérationnelle;Groupe;Nom Groupe;Rang groupe réel;Rang global réel;Score Final Challenge;Taux SAT NETTE Composite (%);Taux de répondants (%);Nombre d'enquêtes envoyées;Nombre de répondants;Nombre de répondants PART;Nombre de répondants PRO;Nombre de répondants ENT;Total Points Gagnés;Total Points Potentiels;Score recalculé (%);Écart score (pts);Mode regroupement;Méthode regroupement
BO Annonay;1;Groupe A (6 BOs);1;1;11.53;91.02;12.8;875;112;98;9;5.0;1015;8804;11.528850522489778;0.0011494775102214305;kmeans;K-Means
BO Roannais;1;Groupe A (6 BOs);2;2;8.95;86.97;13.51;1628;220;198;16;6.0;1481;16552;8.947559207346545;0.0024407926534539826;kmeans;K-Means
BO Valréas;1;Groupe A (6 BOs);3;3;8.64;97.98;15.21;677;103;99;3;1.0;415;4804;8.638634471273939;0.001365528726061882;kmeans;K-Means
BO Rillieux;1;Groupe A (6 BOs);4;4;7.94;88.48;13.61;1205;164;152;9;3.0;893;11240;7.944839857651245;-0.004839857651244728;kmeans;K-Means
BO Ambérieu - Belley;1;Groupe A (6 BOs);5;5;7.71;79.73;13.29;1211;161;147;7;7.0;1221;15830;7.713202779532533;-0.0032027795325326736;kmeans;K-Means
BO Oyonnax;1;Groupe A (6 BOs);6;11;4.19;78.24;14.74;251;37;34;2;1.0;209;4986;4.191736863217008;-0.0017368632170073894;kmeans;K-Means
BO Firminy - Saint Bonnet;2;Groupe B (13 BOs);1;6;6.16;88.39;9.95;955;95;83;11;1.0;556;9030;6.157253599114064;0.00274640088593614;kmeans;K-Means
BO Forez;2;Groupe B (13 BOs);2;7;5.82;75.72;12.7;1394;177;159;11;7.0;1140;19576;5.823457294646506;-0.00345729464650546;kmeans;K-Means
BO Aubenas-Joyeuse;2;Groupe B (13 BOs);3;8;5.4;82.6;13.7;1496;205;187;15;3.0;916;16954;5.40285478353191;-0.0028547835319097103;kmeans;K-Means
BO Romans;2;Groupe B (13 BOs);4;9;5.39;91.41;12.38;1737;215;198;12;5.0;1308;24262;5.391146649080867;-0.00114664908086759;kmeans;K-Means
BO Crest Die;2;Groupe B (13 BOs);5;10;5.21;96.32;11.29;753;85;76;8;1.0;547;10506;5.206548638873025;0.003451361126974639;kmeans;K-Means
BO Vénissieux;2;Groupe B (13 BOs);6;12;4.16;75.45;9.47;1520;144;129;9;6.0;799;19206;4.160158283869624;-0.00015828386962368768;kmeans;K-Means
BO Givors;2;Groupe B (13 BOs);7;14;4.01;78.3;12.99;1493;194;182;11;1.0;518;12906;4.0136370680303735;-0.003637068030373669;kmeans;K-Means
BO Saint Étienne;2;Groupe B (13 BOs);8;15;3.97;86.13;10.88;1718;187;172;14;1.0;685;17254;3.9700938912715893;-9.389127158909716e-05;kmeans;K-Means
BO Roussillon;2;Groupe B (13 BOs);9;16;3.96;85.8;10.02;1407;141;127;13;1.0;612;15474;3.9550213260953857;0.004978673904614261;kmeans;K-Means
BO Montélimar;2;Groupe B (13 BOs);10;17;3.84;57.62;11.48;1550;178;168;10;0.0;611;15916;3.8389042472983164;0.0010957527016834945;kmeans;K-Means
BO Privas-Le Cheylard;2;Groupe B (13 BOs);11;21;3.74;57.08;12.41;1209;150;144;6;0.0;431;11530;3.7380745880312225;0.0019254119687777127;kmeans;K-Means
BO Oullins;2;Groupe B (13 BOs);12;22;3.65;67.69;10.07;1688;170;144;23;3.0;836;22918;3.6477877650754866;0.002212234924513279;kmeans;K-Means
BO Décines;2;Groupe B (13 BOs);13;23;3.49;75.23;14.04;1147;161;149;9;3.0;600;17170;3.4944670937682005;-0.004467093768200314;kmeans;K-Means
BO Heyrieux;3;Groupe C (4 BOs);1;13;4.02;68.03;11.82;2656;314;300;7;7.0;985;24486;4.022706852895532;-0.002706852895532741;kmeans;K-Means
BO Bourg - Montrevel;3;Groupe C (4 BOs);2;18;3.79;63.94;13.05;2054;268;249;12;7.0;796;21008;3.789032749428789;0.0009672505712110535;kmeans;K-Means
BO Gleize;3;Groupe C (4 BOs);2;18;3.79;77.16;11.16;2689;300;275;23;2.0;902;23806;3.7889607661933966;0.0010392338066034235;kmeans;K-Means
BO Saint Vallier;3;Groupe C (4 BOs);4;20;3.76;64.35;10.1;3078;311;272;31;8.0;1210;32178;3.7603331468705328;-0.0003331468705329854;kmeans;K-Means
BO Valence;4;Groupe D (2 BOs);1;24;0.79;29.89;9.98;1964;196;173;20;3.0;185;23390;0.790936297563061;-0.0009362975630610171;kmeans;K-Means
BO l'Arbresle;4;Groupe D (2 BOs);2;25;0.38;29.39;14.9;1242;185;169;13;3.0;52;13718;0.37906400349905234;0.0009359965009476667;kmeans;K-Means
