Base opérationnelle;Groupe;Nom Groupe;Rang groupe réel;Rang global réel;Score Final Challenge;Taux SAT NETTE Composite (%);Taux de répondants (%);Nombre d'enquêtes envoyées;Nombre de répondants;Nombre de répondants PART;Nombre de répondants PRO;Nombre de répondants ENT;Total Points Gagnés;Total Points Potentiels;Score recalculé (%);Écart score (pts);Mode regroupement;Méthode regroupement
BO Annonay;1;Groupe A (7 BOs);1;1;12.79;90.77;13.77;1968;271;240;21;10;2224;17388;12.79043018173453;-0.00043018173453113207;manuel;Manuel (quartiles score)
BO Valréas;1;Groupe A (7 BOs);2;2;12.59;97.91;18.27;1303;238;220;16;2;1224;9720;12.592592592592592;-0.0025925925925918136;manuel;Manuel (quartiles score)
BO Oyonnax;1;Groupe A (7 BOs);3;3;12.44;89.32;16.26;578;94;78;9;7;1291;10376;12.442174248265228;-0.0021742482652289397;manuel;Manuel (quartiles score)
BO Roannais;1;Groupe A (7 BOs);4;4;10.96;85.81;15.49;3427;531;472;44;15;3736;34102;10.955369186557974;0.004630813442027204;manuel;Manuel (quartiles score)
BO Rillieux;1;Groupe A (7 BOs);5;5;10.2;88.36;15.03;2475;372;328;35;9;2696;26430;10.200529701097238;-0.0005297010972391547;manuel;Manuel (quartiles score)
BO Ambérieu - Belley;1;Groupe A (7 BOs);6;6;10.1;84.61;14.52;2920;424;380;24;20;3401;33688;10.095582996912848;0.004417003087151983;manuel;Manuel (quartiles score)
BO Bourg - Montrevel;1;Groupe A (7 BOs);7;7;9.08;81.8;15.0;3066;460;405;38;17;3154;34748;9.076781397490503;0.003218602509496904;manuel;Manuel (quartiles score)
BO Aubenas-Joyeuse;2;Groupe B (6 BOs);1;8;8.6;88.64;15.66;3347;524;472;44;8;2904;33786;8.595276149884567;0.004723850115432526;manuel;Manuel (quartiles score)
BO Vénissieux;2;Groupe B (6 BOs);2;9;8.29;83.11;11.56;2742;317;273;27;17;2978;35928;8.288799821865954;0.00120017813404516;manuel;Manuel (quartiles score)
BO Forez;2;Groupe B (6 BOs);3;10;7.96;82.13;15.79;2768;437;388;38;11;2734;34350;7.95924308588064;0.0007569141193597417;manuel;Manuel (quartiles score)
BO Décines;2;Groupe B (6 BOs);4;11;7.87;88.21;14.88;2426;361;319;29;13;2835;36032;7.86800621669627;0.0019937833037300123;manuel;Manuel (quartiles score)
BO Crest Die;2;Groupe B (6 BOs);5;12;7.38;97.75;13.81;1745;241;213;24;4;1717;23268;7.379233281760357;0.0007667182396424721;manuel;Manuel (quartiles score)
BO Privas-Le Cheylard;2;Groupe B (6 BOs);6;13;7.36;94.3;14.43;2294;331;306;23;2;1523;20696;7.358909934286818;0.0010900657131820424;manuel;Manuel (quartiles score)
BO Roussillon;3;Groupe C (6 BOs);1;14;7.09;93.44;12.73;3731;475;440;30;5;2334;32902;7.09379369035317;-0.0037936903531701205;manuel;Manuel (quartiles score)
BO Montélimar;3;Groupe C (6 BOs);2;15;7.08;80.86;14.38;3080;443;395;41;7;2335;33000;7.075757575757575;0.004242424242424825;manuel;Manuel (quartiles score)
BO Saint Étienne;3;Groupe C (6 BOs);3;16;6.86;82.0;11.86;3492;414;365;37;12;2615;38120;6.859916054564533;8.394543546774713e-05;manuel;Manuel (quartiles score)
BO Heyrieux;3;Groupe C (6 BOs);4;17;6.84;83.26;13.87;4261;591;550;30;11;2718;39710;6.844623520523798;-0.004623520523797886;manuel;Manuel (quartiles score)
BO Givors;3;Groupe C (6 BOs);5;18;6.37;75.5;13.75;3068;422;378;36;8;1917;30082;6.372581610265275;-0.002581610265274925;manuel;Manuel (quartiles score)
BO Romans;3;Groupe C (6 BOs);5;18;6.37;94.65;14.06;2646;372;342;23;7;2245;35256;6.367710460630814;0.0022895393691859667;manuel;Manuel (quartiles score)
BO Gleize;4;Groupe D (6 BOs);1;20;6.22;79.15;14.16;4646;658;595;55;8;2623;42194;6.216523676352088;0.0034763236479120607;manuel;Manuel (quartiles score)
BO Firminy - Saint Bonnet;4;Groupe D (6 BOs);2;21;5.92;84.03;12.5;1920;240;216;21;3;1093;18452;5.923477129850423;-0.003477129850423033;manuel;Manuel (quartiles score)
BO Saint Vallier;4;Groupe D (6 BOs);3;22;5.55;73.9;12.06;4013;484;425;48;11;2356;42448;5.550320392009047;-0.00032039200904687704;manuel;Manuel (quartiles score)
BO l'Arbresle;4;Groupe D (6 BOs);4;23;5.5;64.1;16.05;2841;456;412;37;7;1618;29416;5.5004079412564595;-0.00040794125645948753;manuel;Manuel (quartiles score)
BO Valence;4;Groupe D (6 BOs);5;24;4.94;67.62;12.86;3428;441;383;50;8;2017;40826;4.940479106451771;-0.0004791064517704058;manuel;Manuel (quartiles score)
BO Oullins;4;Groupe D (6 BOs);6;25;4.72;68.43;11.64;2920;340;287;44;9;1778;37658;4.721440331403686;-0.001440331403686379;manuel;Manuel (quartiles score)
