BO;Groupe;Enq_2m;N4_ini;N3_ini;N2_ini;N1_ini;Rep_ini;Pts_ini;Score_pts_ini;N4_fin;N3_fin;N2_fin;N1_fin;Rep_fin;Pts_fin;Score_pts_fin;Delta_score_pts;Rang;Gagnant;Prix_Effort
BO Oyonnax;1;338;28;18;2;0;48;220;4.58;34;23;2;0;59;271;4.59;0.01;1;True;False
BO Privas-Le Cheylard;1;988;89;73;20;1;183;718;3.92;94;78;20;1;193;763;3.95;0.03;2;False;False
BO Valréas;1;620;45;43;15;1;104;369;3.55;56;50;17;0;123;469;3.81;0.26;3;False;False
BO Aubenas-Joyeuse;2;1367;119;91;21;1;232;951;4.1;136;101;23;0;260;1096;4.22;0.12;1;True;False
BO Roussillon;2;1379;92;71;16;1;180;734;4.08;107;81;19;0;207;866;4.18;0.11;2;False;False
BO Annonay;2;958;61;50;12;1;124;489;3.94;75;58;15;0;148;609;4.11;0.17;3;False;False
BO Ambérieu - Belley;2;1470;102;81;21;1;205;819;4.0;126;96;26;1;249;1003;4.03;0.03;4;False;False
BO Crest Die;2;932;69;58;16;1;144;557;3.87;82;67;18;1;168;660;3.93;0.06;5;False;False
BO Saint Vallier;2;1328;98;87;29;1;215;805;3.74;109;95;31;0;235;908;3.86;0.12;6;False;False
BO Valence;2;1279;78;70;21;2;171;627;3.67;88;78;23;1;190;724;3.81;0.14;7;False;False
BO Décines;2;1190;72;65;22;1;160;590;3.69;95;80;26;1;202;769;3.81;0.12;7;False;False
BO Forez;3;1459;101;91;30;2;224;819;3.66;117;104;31;1;253;968;3.83;0.17;1;True;False
BO Roannais;3;1526;121;108;33;3;265;972;3.67;133;119;34;2;288;1091;3.79;0.12;2;False;False
BO Montélimar;3;1381;94;91;33;2;220;774;3.52;101;98;34;1;234;851;3.64;0.12;3;False;False
BO Bourg - Montrevel;3;1608;88;93;37;3;221;725;3.28;108;108;44;2;262;898;3.43;0.15;4;False;False
BO Heyrieux;3;1464;93;105;47;3;248;781;3.15;110;118;48;1;277;951;3.43;0.28;4;False;False
BO Romans;3;1110;64;73;33;2;172;540;3.14;82;86;36;1;205;699;3.41;0.27;6;False;False
BO l'Arbresle;3;1200;69;74;31;2;176;575;3.27;74;80;33;1;188;636;3.38;0.12;7;False;False
BO Gleize;3;1716;96;109;50;3;258;808;3.13;108;120;54;2;284;924;3.25;0.12;8;False;False
BO Rillieux;4;1112;46;51;23;1;121;391;3.23;68;66;30;1;165;561;3.4;0.17;1;True;False
BO Vénissieux;4;1136;48;59;30;2;139;405;2.91;65;71;36;1;173;552;3.19;0.28;2;False;False
BO Saint Étienne;4;1483;65;76;37;2;180;551;3.06;78;88;41;2;209;661;3.16;0.1;3;False;False
BO Firminy - Saint Bonnet;4;769;39;50;26;2;117;328;2.8;49;58;28;1;136;425;3.12;0.32;4;False;True
BO Givors;4;1311;54;71;37;3;165;455;2.76;63;80;39;2;184;549;2.98;0.23;5;False;False
BO Oullins;4;1221;50;69;39;3;161;423;2.63;61;78;44;2;185;526;2.84;0.22;6;False;False
