Base opérationnelle;Groupe;Nom Groupe;Nombre d'enquêtes envoyées;Nombre de répondants;Rep_fin;Taux de répondants (%);Tx_rep_fin_sim;Total Points Gagnés;Points_gagnes_fin;Total Points Potentiels;Points_potentiels_fin;Score Final Challenge;Score_final_sim;Delta_score_sim;Rang_ini;Rang_fin;Gagnant;Prix_Effort
BO Annonay;1;Groupe A (6 BOs);875;112;119;12.8;13.600000000000001;1015;1046;8804;8804;11.53;11.879999999999999;0.35;1;1;True;False
BO Roannais;1;Groupe A (6 BOs);1628;220;236;13.51;14.55;1481;1569;16552;16552;8.95;9.479999999999999;0.53;2;2;False;False
BO Valréas;1;Groupe A (6 BOs);677;103;111;15.21;16.490000000000002;415;449;4804;4804;8.64;9.350000000000001;0.71;3;3;False;False
BO Rillieux;1;Groupe A (6 BOs);1205;164;182;13.61;15.129999999999999;893;992;11240;11240;7.94;8.83;0.89;4;4;False;False
BO Ambérieu - Belley;1;Groupe A (6 BOs);1211;161;182;13.29;15.049999999999999;1221;1390;15830;15830;7.71;8.78;1.07;5;5;False;False
BO Oyonnax;1;Groupe A (6 BOs);251;37;42;14.74;16.740000000000002;209;271;4986;4986;4.19;5.44;1.25;6;6;False;False
BO Firminy - Saint Bonnet;2;Groupe B (13 BOs);955;95;104;9.95;10.95;556;601;9030;9030;6.16;6.66;0.5;1;1;True;False
BO Forez;2;Groupe B (13 BOs);1394;177;193;12.7;13.799999999999999;1140;1251;19576;19576;5.82;6.390000000000001;0.57;2;2;False;False
BO Romans;2;Groupe B (13 BOs);1737;215;238;12.38;13.680000000000001;1308;1482;24262;24262;5.39;6.109999999999999;0.72;4;3;False;False
BO Aubenas-Joyeuse;2;Groupe B (13 BOs);1496;205;222;13.7;14.899999999999999;916;1026;16954;16954;5.4;6.050000000000001;0.65;3;4;False;False
BO Crest Die;2;Groupe B (13 BOs);753;85;95;11.29;12.69;547;631;10506;10506;5.21;6.01;0.8;5;5;False;False
BO Roussillon;2;Groupe B (13 BOs);1407;141;166;10.02;11.82;612;783;15474;15474;3.96;5.0600000000000005;1.1;9;6;False;False
BO Vénissieux;2;Groupe B (13 BOs);1520;144;166;9.47;10.97;799;968;19206;19206;4.16;5.04;0.88;6;7;False;False
BO Montélimar;2;Groupe B (13 BOs);1550;178;208;11.48;13.38;611;799;15916;15916;3.84;5.02;1.18;10;8;False;False
BO Saint Étienne;2;Groupe B (13 BOs);1718;187;216;10.88;12.58;685;861;17254;17254;3.97;4.99;1.02;8;9;False;False
BO Privas-Le Cheylard;2;Groupe B (13 BOs);1209;150;174;12.41;14.41;431;575;11530;11530;3.74;4.99;1.25;11;9;False;False
BO Oullins;2;Groupe B (13 BOs);1688;170;206;10.07;12.17;836;1139;22918;22918;3.65;4.97;1.32;12;11;False;False
BO Givors;2;Groupe B (13 BOs);1493;194;217;12.99;14.59;518;640;12906;12906;4.01;4.96;0.95;7;12;False;False
BO Décines;2;Groupe B (13 BOs);1147;161;185;14.04;16.24;600;840;17170;17170;3.49;4.890000000000001;1.4;13;13;False;False
BO Saint Vallier;3;Groupe C (4 BOs);3078;311;385;10.1;12.5;1210;1725;32178;32178;3.76;5.359999999999999;1.6;4;1;True;False
BO Bourg - Montrevel;3;Groupe C (4 BOs);2054;268;301;13.05;14.65;796;1006;21008;21008;3.79;4.79;1.0;2;2;False;False
BO Gleize;3;Groupe C (4 BOs);2689;300;342;11.16;12.76;902;1140;23806;23806;3.79;4.79;1.0;2;2;False;False
BO Heyrieux;3;Groupe C (4 BOs);2656;314;346;11.82;13.02;985;1156;24486;24486;4.02;4.72;0.7;1;4;False;False
BO l'Arbresle;4;Groupe D (2 BOs);1242;185;219;14.9;17.6;52;306;13718;13718;0.38;2.23;1.85;2;1;True;True
BO Valence;4;Groupe D (2 BOs);1964;196;225;9.98;11.48;185;407;23390;23390;0.79;1.74;0.95;1;2;False;False
