Base opérationnelle;Groupe;Nom Groupe;Nombre d'enquêtes envoyées;Nombre de répondants;Rep_fin;Taux de répondants (%);Tx_rep_fin_sim;Total Points Gagnés;Points_gagnes_fin;Total Points Potentiels;Points_potentiels_fin;Score Final Challenge;Score_final_sim;Delta_score_sim;Rang_ini;Rang_fin;Gagnant;Prix_Effort
BO Annonay;1;Groupe A (7 BOs);875;112;119;12.8;13.600000000000001;1015;1046;8804;8804;11.53;11.879999999999999;0.35;1;1;True;False
BO Roannais;1;Groupe A (7 BOs);1628;220;236;13.51;14.51;1481;1564;16552;16552;8.95;9.45;0.5;2;2;False;False
BO Valréas;1;Groupe A (7 BOs);677;103;111;15.21;16.41;415;446;4804;4804;8.64;9.290000000000001;0.65;3;3;False;False
BO Rillieux;1;Groupe A (7 BOs);1205;164;181;13.61;15.01;893;982;11240;11240;7.94;8.74;0.8;4;4;False;False
BO Ambérieu - Belley;1;Groupe A (7 BOs);1211;161;181;13.29;14.889999999999999;1221;1371;15830;15830;7.71;8.66;0.95;5;5;False;False
BO Firminy - Saint Bonnet;1;Groupe A (7 BOs);955;95;112;9.95;11.75;556;656;9030;9030;6.16;7.26;1.1;6;6;False;False
BO Forez;1;Groupe A (7 BOs);1394;177;205;12.7;14.7;1140;1384;19576;19576;5.82;7.07;1.25;7;7;False;False
BO Crest Die;2;Groupe B (6 BOs);753;85;96;11.29;12.77;547;638;10506;10506;5.21;6.07;0.86;3;1;True;False
BO Romans;2;Groupe B (6 BOs);1737;215;237;12.38;13.620000000000001;1308;1473;24262;24262;5.39;6.069999999999999;0.68;2;2;False;False
BO Aubenas-Joyeuse;2;Groupe B (6 BOs);1496;205;220;13.7;14.7;916;1000;16954;16954;5.4;5.9;0.5;1;3;False;False
BO Heyrieux;2;Groupe B (6 BOs);2656;314;372;11.82;14.02;985;1327;24486;24486;4.02;5.42;1.4;6;4;False;False
BO Vénissieux;2;Groupe B (6 BOs);1520;144;174;9.47;11.43;799;1033;19206;19206;4.16;5.38;1.22;5;5;False;False
BO Oyonnax;2;Groupe B (6 BOs);251;37;41;14.74;16.46;209;261;4986;4986;4.19;5.23;1.04;4;6;False;False
BO Bourg - Montrevel;3;Groupe C (6 BOs);2054;268;312;13.05;15.21;796;1095;21008;21008;3.79;5.21;1.42;5;1;True;False
BO Gleize;3;Groupe C (6 BOs);2689;300;357;11.16;13.32;902;1240;23806;23806;3.79;5.21;1.42;5;1;True;False
BO Montélimar;3;Groupe C (6 BOs);1550;178;208;11.48;13.4;611;809;15916;15916;3.84;5.08;1.24;4;3;False;False
BO Roussillon;3;Groupe C (6 BOs);1407;141;164;10.02;11.7;612;777;15474;15474;3.96;5.02;1.06;3;4;False;False
BO Saint Étienne;3;Groupe C (6 BOs);1718;187;212;10.88;12.32;685;837;17254;17254;3.97;4.8500000000000005;0.88;2;5;False;False
BO Givors;3;Groupe C (6 BOs);1493;194;212;12.99;14.19;518;608;12906;12906;4.01;4.71;0.7;1;6;False;False
BO Décines;4;Groupe D (6 BOs);1147;161;186;14.04;16.259999999999998;600;855;17170;17170;3.49;4.98;1.49;4;1;True;False
BO Oullins;4;Groupe D (6 BOs);1688;170;204;10.07;12.05;836;1137;22918;22918;3.65;4.96;1.31;3;2;False;False
BO Privas-Le Cheylard;4;Groupe D (6 BOs);1209;150;171;12.41;14.15;431;562;11530;11530;3.74;4.87;1.13;2;3;False;False
BO Saint Vallier;4;Groupe D (6 BOs);3078;311;357;10.1;11.6;1210;1516;32178;32178;3.76;4.71;0.95;1;4;False;False
BO Valence;4;Groupe D (6 BOs);1964;196;245;9.98;12.440000000000001;185;575;23390;23390;0.79;2.46;1.67;5;5;False;False
BO l'Arbresle;4;Groupe D (6 BOs);1242;185;219;14.9;17.6;52;306;13718;13718;0.38;2.23;1.85;6;6;False;True
